frame_index,source_time_s,bbox_xywh,update_s,decode_s,calibrated_confidence,guarded_states,guarded_events,localization_accepted
10,0.2,"[304.0, 74.0, 262.0, 264.0]",0.016029791033361107,0.0002163749886676669,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3559718969555035, 0.15416666666666667, 0.6627634660421545, 0.7041666666666667], 'timestamp': 0.2, 'evidence_id': 'ego:11', 'visibility': 'visible', 'confidence': 0.8292392924412951, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.1707607075587049, 'visible_fraction': 1.0, 'relative_motion': 0.0038697910272294644, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
11,0.22,"[302.0, 74.0, 262.0, 264.0]",0.015078750031534582,0.0002021659747697413,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.35362997658079626, 0.15416666666666667, 0.6604215456674473, 0.7041666666666667], 'timestamp': 0.22, 'evidence_id': 'ego:12', 'visibility': 'visible', 'confidence': 0.817141487529402, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.18285851247059806, 'visible_fraction': 1.0, 'relative_motion': 0.0018159002706162023, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
12,0.24,"[302.0, 74.0, 262.0, 264.0]",0.015989792009349912,0.00018445798195898533,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.35362997658079626, 0.15416666666666667, 0.6604215456674473, 0.7041666666666667], 'timestamp': 0.24, 'evidence_id': 'ego:13', 'visibility': 'visible', 'confidence': 0.7964553836118415, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.20354461638815846, 'visible_fraction': 1.0, 'relative_motion': 0.0011326530975683106, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
13,0.26,"[300.0, 74.0, 262.0, 264.0]",0.015486249991226941,0.00021004100563004613,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.351288056206089, 0.15416666666666667, 0.65807962529274, 0.7041666666666667], 'timestamp': 0.26, 'evidence_id': 'ego:14', 'visibility': 'visible', 'confidence': 0.7919686353980496, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.20803136460195035, 'visible_fraction': 1.0, 'relative_motion': 0.001608677817372741, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
14,0.28,"[300.0, 74.0, 262.0, 264.0]",0.015620833029970527,0.00020816700998693705,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.351288056206089, 0.15416666666666667, 0.65807962529274, 0.7041666666666667], 'timestamp': 0.28, 'evidence_id': 'ego:15', 'visibility': 'visible', 'confidence': 0.7817933879967792, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.21820661200322075, 'visible_fraction': 1.0, 'relative_motion': 0.0006592865267083978, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
15,0.3,"[302.0, 76.0, 256.0, 258.0]",0.015004916989710182,0.00019458396127447486,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.35362997658079626, 0.15833333333333333, 0.6533957845433255, 0.6958333333333333], 'timestamp': 0.3, 'evidence_id': 'ego:16', 'visibility': 'visible', 'confidence': 0.7684327472527412, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.23156725274725873, 'visible_fraction': 1.0, 'relative_motion': 0.002322310950351773, 'camera_compensated': True, 'total_area_ratio': 1.0001211459973327}]",[],True
16,0.32,"[300.0, 74.0, 262.0, 264.0]",0.01641341601498425,0.0001941670197993517,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.351288056206089, 0.15416666666666667, 0.65807962529274, 0.7041666666666667], 'timestamp': 0.32, 'evidence_id': 'ego:17', 'visibility': 'visible', 'confidence': 0.7753150672166655, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2246849327833345, 'visible_fraction': 1.0, 'relative_motion': 0.0020043436706881964, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
17,0.34,"[300.0, 74.0, 262.0, 264.0]",0.015697875001933426,0.00018612499115988612,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.351288056206089, 0.15416666666666667, 0.65807962529274, 0.7041666666666667], 'timestamp': 0.34, 'evidence_id': 'ego:18', 'visibility': 'visible', 'confidence': 0.7731809947760204, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.22681900522397958, 'visible_fraction': 1.0, 'relative_motion': 0.00028439463005023463, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
18,0.36,"[300.0, 74.0, 262.0, 264.0]",0.015564207977149636,0.00021958298748359084,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.351288056206089, 0.15416666666666667, 0.65807962529274, 0.7041666666666667], 'timestamp': 0.36, 'evidence_id': 'ego:19', 'visibility': 'visible', 'confidence': 0.7809677516441339, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2190322483558661, 'visible_fraction': 1.0, 'relative_motion': 0.0006014117402507216, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300558}]",[],True
19,0.38,"[304.0, 72.0, 262.0, 264.0]",0.015708666993305087,0.000216791988350451,,"[{'track_id': 'phys_assessed_object', 'label': 'assessed object', 'box': [0.3559718969555035, 0.15, 0.6627634660421545, 0.7], 'timestamp': 0.38, 'evidence_id': 'ego:20', 'visibility': 'visible', 'confidence': 0.7818036349842403, 'confidence_kind': 'uncalibrated_heuristic', 'calibrated_confidence': None, 'appearance_distance': 0.2181963650157597, 'visible_fraction': 1.0, 'relative_motion': 0.004003074612361818, 'camera_compensated': True, 'total_area_ratio': 1.0473652408300556}]",[],True
